"entity","type","direction","source","notes","date"
"121.178.131.151","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host;Malicious Host","2017-03-10"
"87.96.248.177","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-11"
"190.165.169.40","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host;Malicious Host","2017-03-12"
"88.247.28.139","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-10"
"221.207.29.28","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host;Malicious Host","2017-03-12"
"92.51.86.207","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-13"
"93.153.173.42","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-14"
"114.35.26.91","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-13"
"117.139.208.11","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-13"
"114.35.85.216","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-13"
"114.199.185.64","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-13"
"213.60.109.161","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-13"
"217.209.137.73","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-13"
"52.55.36.69","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-13"
"www.blocket.se","FQDN","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-14"
"12.33.221.108","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-14"
"www.tradera.com","FQDN","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-23"
"42.116.136.167","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-23"
"190.44.165.237","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-23"
"187.121.74.125","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-23"
"220.134.53.44","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-23"
"122.116.71.74","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-23"
"218.149.204.191","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"www.hh.se","FQDN","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"179.228.207.102","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"200.54.210.21","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"203.122.11.73","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"218.161.115.191","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"218.86.0.45","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"122.117.57.154","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"218.86.0.30","","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"82.127.227.113","","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"59.16.62.26","","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host;Scanning Host","2017-03-21"
"52.60.52.75","","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
